end_station_name,year,number_of_rides
Fairfield Ave & 44th St,2024,210
Kedzie Ave & 57th St,2024,208
Kostner Ave & Belmont Ave,2024,208
Public Rack - Hamlin Ave & Montrose Ave,2024,206
Sacramento Ave & Lunt Ave,2024,205
Artesian Ave & 55th St,2024,202
Sacramento Blvd & Fulton Ave,2024,202
Stony Island Ave & 75th St,2024,202
Central Ave & Chicago Ave,2024,201
Leclaire Ave & Belmont Ave,2024,201
Public Rack - Haft Ave & Milwaukee Ave,2024,201
Public Rack - Rockwell & Division,2024,201
Cottage Grove Ave & 83rd St,2024,199
Sacramento Ave & Pratt Blvd,2024,199
Eggleston Ave & 69th St,2024,197
Western Ave & 111th St,2024,196
Cicero Ave & Roscoe Ave,2024,194
Central Ave & Altgeld St,2024,190
Kostner Ave & Adams St,2024,190
Lexington St & California Ave,2024,189
Harlem Ave & Irving Park Rd,2024,188
Walden Pkwy & 100th St,2024,188
Halsted St & 51st St,2024,187
Stony Island Ave & 64th St,2024,186
Ashland Ave & McDowell Ave,2024,185
Public Rack - Kedzie Ave & Argyle St,2024,185
Grace St & Cicero Ave,2024,184
Austin Blvd & Madison St,2024,183
Midway Orange Line,2024,183
Kildare Ave & North Ave,2024,181
May St & 69th St,2024,180
Hoyne Ave & 34th St,2024,179
Tripp Ave & 65th St,2024,179
Halsted St & 63rd St,2024,178
Meade Ave & Fullerton Ave,2024,178
Oak Park & Wellington,2024,178
Public Rack - Langley Ave & 49th St,2024,178
Ashland Ave & 50th St,2024,177
Central Park & Augusta Blvd,2024,177
Lawndale Ave & 30th St,2024,173
Central Ave & Lake St,2024,172
Western Ave & Ardmore Ave,2024,172
Public Rack - Pulaski Rd & 44th St,2024,168
Loomis Blvd & 84th St,2024,167
Union Ave & Root St,2024,167
Linder Ave & Montrose Ave,2024,166
Public Rack - Spaulding Ave & Evergreen Ave,2024,165
Bernard St & Peterson Ave,2024,164
Washtenaw Ave & Polk St,2024,164
Lawler Ave & 50th St,2024,162
Kedzie Ave & Redfield Dr,2024,161
Virginia Ave & Catalpa Ave,2024,161
Weekend Night Parking Area B,2024,161
Artesian Ave & Marquette Rd,2024,159
Kilpatrick Ave & Grand Ave,2024,159
Public Rack - Monticello Ave & Belmont Ave,2024,158
Harding Ave & Division St,2024,157
Lamon Ave & Armitage Ave,2024,157
Public Rack - Hyde Park Blvd & 55th St,2024,157
Lowell Ave & Armitage,2024,156
Prospect Sq & 91st St,2024,156
Public Rack - Washtenaw Ave & Devon Ave,2024,156
Narragansett Ave & School St,2024,155
Albany Ave & 26th St,2024,154
Marmora Ave & Irving Park Rd,2024,153
State St & 79th St,2024,153
Lowell Ave & Armitage Ave,2024,148
St Louis Ave & Norman Bobbins Pl,2024,146
Western Ave & 43rd St,2024,146
State St & Pershing Rd,2024,144
Major Ave & Addison St,2024,143
Marshfield Ave & 44th St,2024,143
Public Rack - Hamlin Ave & Fullerton Ave,2024,143
Francisco Ave & 47th St,2024,142
Kilpatrick Ave & Parker Ave,2024,142
Loomis St & 89th St,2024,142
Kedzie Ave & 24th St,2024,141
Komensky Ave & 31st St,2024,141
Narragansett Ave & Montrose Ave,2024,141
Public Rack - Hollywood Park,2024,141
Austin Blvd & Chicago Ave,2024,140
Central Park Ave & 24th St,2024,138
St Louis Ave & 59th St,2024,138
Commercial Ave & 130th St,2024,137
Commercial Ave & 83rd St,2024,137
Grace St & Central Ave,2024,136
Merrimac Park,2024,135
Kedzie Ave & Harrison St,2024,134
Central Park Blvd & 5th Ave,2024,133
Halsted St & 96th St,2024,131
Harding Ave & 26th St,2024,131
Pulaski & Ann Lurie Pl,2024,131
Sayre Ave & Diversey Ave,2024,130
Laramie Ave & Addison St,2024,129
Wentworth Ave & 63rd St,2024,129
Yates Blvd & 75th St,2024,129
Pulaski Rd & 68th St,2024,128
Calumet Ave & 71st St,2024,127
Hamlin Ave & Grand Ave,2024,127
Nordica Ave & Medill Ave,2024,127
Public Rack - Kostner Ave & Armitage Ave,2024,127
Wood St & 33rd St,2024,127
Burnham Greenway & 105th St,2024,126
Lavergne Ave & Lawrence Ave,2024,126
Western Ave & 104th St,2024,126
Halsted St & 111th St,2024,125
Pershing Rd & Sacramento Ave,2024,125
Washtenaw Ave & Madison St,2024,125
Ewing Ave & Burnham Greenway,2024,123
Hale Ave & 107th St,2024,123
MLK Jr Dr & 83rd St,2024,123
Mason Ave & Grand Ave,2024,123
Michigan Ave & 71st St,2024,123
Lockwood Ave & Grand Ave,2024,122
Springfield Ave & 71st St,2024,122
Central Ave & Madison St,2024,121
Lawndale Ave & 111th St,2024,121
Public Rack - Cumberland & Catherine,2024,121
California & 16th St,2024,120
California Ave & Marquette Rd,2024,119
Halsted St & 78th St,2024,119
California Ave & 41st St,2024,118
Mango Ave & Diversey Ave,2024,118
Harlem Ave & Bloomingdale Ave,2024,117
Avenue O & 118th St,2024,116
Wabash Ave & 87th St,2024,116
Kildare Ave & 26th St,2024,115
Halsted St & 69th St,2024,113
Phillips Ave & 79th St,2024,113
Rockwell St & 57th St,2024,113
California Ave & Madison St,2024,112
Central Ave & Parker Ave,2024,111
Monticello Ave & Chicago Ave,2024,111
Public Rack - Milwaukee Ave & Higgins Ave,2024,111
Morgan St & Pershing Rd,2024,110
Public Rack - Lawndale Ave & Diversey Ave,2024,110
Central Park Ave & Washington Blvd,2024,109
Houston Ave & 92nd St,2024,109
Central Ave & Wellington Ave,2024,108
Steelworkers Park,2024,108
Public Rack - Kedvale Ave & 63rd St W,2024,107
Kedzie Ave & 60th St,2024,106
Lamon Ave & Belmont Ave,2024,106
Richmond St & 59th St,2024,106
Knox Ave & Marquette Ave,2024,105
Public Rack - Spaulding Ave & North Ave,2024,105
Dauphin Ave & 87th St,2024,104
Oglesby Ave & 100th St,2024,104
Springfield Ave & 47th St,2024,104
Latrobe Ave & Chicago Ave,2024,101
Damen Ave & 87th St,2024,100
Mozart St & Jackson Blvd,2024,100
Central Ave & Roscoe St,2024,99
Narragansett Ave & McLean Ave,2024,99
Cicero Ave & Lake St,2024,98
Halsted St & 56th St,2024,98
Kedzie Ave & Roosevelt Rd,2024,97
Laramie Ave & Madison St,2024,97
Vernon Ave & 79th St,2024,97
21st St & Pulaski Rd,2024,96
Cottage Grove Ave & 111th Pl,2024,96
Kilbourn Ave & 49th St,2024,95
Kostner Ave & 63rd St,2024,95
Albany Ave & Douglas Blvd,2024,94
Komensky Ave & 47th St,2024,94
Public Rack - Austin Blvd & North Ave,2024,94
Rockwell St & Archer Ave,2024,94
Meade Ave & Diversey Ave,2024,92
Western Ave & 28th St,2024,92
Lawler Ave & North Ave,2024,91
Harding Ave & 31st St,2024,90
Public Rack - Drake Ave & Leland Ave,2024,90
Harding Ave & Chicago Ave,2024,89
California Ave & 71st St,2024,88
Central Park Ave & Douglas Blvd,2024,88
Kedzie Ave & Archer Ave,2024,87
Pulaski Rd & Lake St,2024,87
Spaulding Ave & 16th St,2024,87
Meade Ave & Addison St,2024,86
Public Rack - Milwaukee Ave & Haussen Ct,2024,86
Pulaski Rd & 54th St,2024,86
Constance Ave & 95th St,2024,85
Long Ave & Belden Ave,2024,85
Vernon Ave & 75th St,2024,85
Long Ave & Diversey Ave,2024,84
Narragansett & Wrightwood,2024,84
Public Rack - Milwaukee Ave & Culyer Ave,2024,84
Racine Ave & Garfield Blvd,2024,84
Scottsdale Park,2024,84
Kildare Ave & 47th St,2024,83
Damen Ave & 81st St,2024,82
Public Rack - Throop St & 58th St,2024,82
Wellington Ave & Mulligan Ave,2024,82
Karlov Ave & Madison St,2024,81
Lamon Ave & Chicago Ave,2024,81
Marquette Ave & 89th St,2024,81
Public Rack - Harold Washington Park,2024,81
Lavergne Ave & Diversey Ave,2024,80
Lavergne Ave & Division St,2024,80
Vernon Ave & 107th St,2024,80
Archer Ave & Homan Ave,2024,79
Kedzie Ave & Jackson Blvd,2024,79
Kildare Ave & Division St,2024,79
Mango Ave & North Ave,2024,79
Central Park Ave & Ohio St,2024,78
Laramie Ave & Kinzie St,2024,78
Public Rack - Kinzua Ave & Devon Ave,2024,78
Evans Ave & 75th St,2024,77
Kildare Ave & 55th St,2024,77
Public Rack - Milwaukee Ave & Catalpa Ave,2024,77
Kedzie Ave & 54th Pl,2024,76
Peterson/Ridge Metra,2024,76
Public Rack - Kimbark Ave & 63rd St,2024,76
Summit Ave & 86th St,2024,76
Kedzie Ave & 110th St,2024,75
Mulligan Ave & Archer Ave,2024,75
Greenwood Ave & 79th St,2024,74
Public Rack - Olmstead Ave & Oliphant Ave,2024,74
Artesian Ave & 71st St,2024,73
Cicero Ave & Wellington Ave,2024,73
Kildare Ave & Chicago Ave,2024,73
Woodlawn Ave & 75th St,2024,73
Albany Ave & 16th St,2024,72
Kenneth Ave & 50th St,2024,72
Public Rack - Wilbur Wright College South,2024,72
Damen Ave & 59th St,2024,71
Greenwood Ave & 91st St,2024,71
Public Rack - Walden Pkwy & 103rd St,2024,71
Sacramento Ave & 25th St,2024,71
Avenue O & 134th St,2024,70
Francisco Ave & 85th St,2024,70
Laramie Ave & Gladys Ave,2024,70
Public Rack - Campbell Ave & Pratt Blvd,2024,70
Public Rack - Jensen Park,2024,70
Jeffery Blvd & 76th St,2024,69
Kedzie Ave & 52nd St,2024,69
Nagle Ave & Belmont Ave,2024,69
Narragansett & Irving Park,2024,69
Orange Ave & Addison St,2024,69
Public Rack - Holbrook St & Milwaukee Ave,2024,69
Public Rack - Lafayette Ave & 95th St,2024,68
California Ave & 36th St,2024,67
Cicero Ave & Quincy St,2024,67
Eberhart Ave & 91st St,2024,67
Public Rack - Calumet Ave & 51st St,2024,67
Kedzie Ave & 66th Pl,2024,66
Pulaski Rd & Congress Pkwy,2024,66
Doty Ave & 111th St,2024,65
Hegewisch Metra Station,2024,65
Public Rack - Avers & Lawrence,2024,65
Stewart Ave & 63rd St,2024,65
La Villita Park,2024,64
Indiana Ave & 103rd St,2024,63
Kostner Ave & Lake St,2024,63
Campbell Ave & 51st St,2024,62
Damen Ave & 74th St,2024,62
Halsted St & 73rd St,2024,62
Seeley Ave & Garfield Blvd,2024,62
State St & 76th St,2024,62
Mayfield Ave & Roosevelt Rd,2024,61
Public Rack - Irving Park Rd & Leclaire Ave,2024,61
Public Rack - Rockwell Ave & Touhy Ave ,2024,61
Ashland Ave & 66th St,2024,60
Elizabeth St & 47th St,2024,60
Granville Ave & Pulaski Rd,2024,60
Kedzie Ave & 73rd St,2024,60
Kedzie Ave & 83rd St,2024,60
Mason Ave & Belmont Ave,2024,60
Pittsburgh Ave & Irving Park Rd,2024,60
Public Rack - Penn Elementary School / KIPP Ascend Middle School,2024,60
Clyde Ave & 87th St,2024,59
MTV Hubbard St,2024,59
Public Rack - Kostner Ave & Diversey Ave,2024,59
Public Rack - Lowell Ave & Elston Ave,2024,59
Springfield Ave & 80th St,2024,59
State St & 45th St,2024,59
Weekend Night Parking Area D,2024,59
Ellis Ave & 83rd St,2024,57
Harlem & Irving Park,2024,57
Marshfield Ave & 59th St,2024,57
Oketo Ave & Addison St,2024,57
Public Rack - Pulaski Rd & Armitage Ave,2024,57
Burley Ave & 85th St,2024,56
Central Ave & Harrison St,2024,56
Columbus Ave & 79th St,2024,56
Homan Ave & 26th St,2024,56
Public Rack - Forest Glen & Peterson,2024,56
Public Rack - Hiawatha & Mendota,2024,56
Francisco Ave & Hollywood Ave,2024,55
Maplewood Ave & 59th St,2024,55
North Ave & New England Ave,2024,55
Stewart Ave & 83rd St,2024,55
Cottage Grove Ave & 71st St,2024,54
Marmora Ave & Belmont Ave,2024,54
Public Rack - Lockwood & Archer,2024,54
Public Rack - Milwaukee Ave & Kennedy Expy,2024,54
Public Rack - Western Blvd & 49th St,2024,54
Pulaski Rd & 84th St,2024,54
Damen Ave & 51st St,2024,53
Halsted St & 59th St,2024,53
Public Rack - Nagel & Higgins,2024,53
Public Rack - Natoma Ave & Bryn Mawr Ave,2024,53
Bradley Park,2024,52
East End Ave & 87th St,2024,52
Mozart St & 55th St,2024,52
Public Rack - Keating & Peterson,2024,52
Cicero Ave & Flournoy St,2024,51
Harlem Ave & Grace St,2024,51
Leamington Ave & Hirsch St,2024,51
Public Rack - Avers Ave & Irving Park Rd,2024,51
Cottage Grove Ave & 78th St,2024,50
Ewing Ave & 106th St,2024,50
Hamlin Ave & 62nd Pl,2024,50
Lawndale Ave & 16th St,2024,50
Public Rack - Milwaukee Ave & Lawrence Ave,2024,50
Ashland Ave & Garfield Blvd,2024,49
Public Rack - Cicero Ave & Belle Plaine Ave,2024,49
Public Rack - Midway Orange Line,2024,49
Public Rack - Sawyer Ave & Lawrence Ave,2024,49
Western Ave & 79th St,2024,49
Central Park Ave & 66th St,2024,48
Public Rack - California Ave & Devon Ave - NE,2024,48
Ashland Ave & 74th St,2024,47
Komensky Ave & 55th St,2024,47
Orange & Addison,2024,47
Stony Island Ave & South Chicago Ave,2024,47
Elizabeth St & 92nd St,2024,46
Major Taylor Trail & 115th St,2024,46
Public Rack - Evans Ave & 63rd St,2024,46
Public Rack - Nagle Ave & Belmont Ave,2024,46
Wabash Ave & 49th St,2024,46
Weekend Night Parking Area C,2024,46
St Louis Ave & Norman Bobbins Ave,2024,45
Laramie Ave & Bloomingdale Ave,2024,44
Lavergne Ave & 46th St,2024,44
Public Rack - Central Ave & Lawrence Ave,2024,44
Public Rack - Kilpatrick & Elston,2024,44
Public Rack - Lavergne & Lawrence,2024,44
Spaulding Ave & 63rd,2024,44
St. Louis & 71st St,2024,44
Tripp Ave & 31st St,2024,44
Ashland Ave & 78th St,2024,43
Halsted St & 104th St,2024,43
Homewood Ave & 115th St,2024,43
Mason Ave & Montrose Ave,2024,43
Public Rack - Jeffery Blvd & 67th St,2024,43
Public Rack - Kimball Ave & Lawrence Ave,2024,43
Racine Ave & 57th St,2024,43
Avers Ave & 16th St,2024,42
Public Rack - Jonathan Y Scammon Public School,2024,42
Public Rack - Menard Ave & Belmont Ave,2024,42
Wabash Ave & 59th St,2024,42
Michigan Ave & 105th St,2024,41
NEW HASTINGS ,2024,41
Phillips Ave & 83rd St,2024,41
Public Rack - Kenneth & Carmen,2024,41
Public Rack - Lavergne Ave & Belle Plaine Ave,2024,41
Stony Island Ave & 82nd St,2024,41
Monitor Ave & Division St,2024,40
Public Rack - Delphina & Foster,2024,40
Public Rack - Karlov Ave & Milwaukee Ave,2024,40
Public Rack - Western Ave & 96th St,2024,40
Whipple St & Roosevelt Rd,2024,40
Martin Luther King Dr & 111th St,2024,39
Commercial Ave & 100th St,2024,38
Pine Ave & Division St,2024,38
Public Rack - Milwaukee Ave & Addison St,2024,38
Public Rack - Springfield Ave & Lawrence Ave,2024,38
Racine Ave & 61st St,2024,38
Sayre & Diversey,2024,38
Homan Ave & 65th St,2024,37
Public Rack - Keystone Ave & Irving Park Rd,2024,37
Public Rack - Washington Park Ct & 51st St,2024,37
Roscoe & Harlem,2024,37
Ashland Ave & 63rd St,2024,36
Dauphin Ave & 103rd St,2024,36
Kildare & Cermak,2024,36
Public Rack - Langley Ave & Oakwood Blvd,2024,36
Public Rack - Lawndale Ave & 23rd St,2024,36
Public Rack - Leamington & Elston,2024,36
Public Rack - Pulaski Rd & Fullerton Ave,2024,36
Commercial Ave & 97th St,2024,35
Fullerton & Monitor,2024,35
Paulina Ave & 87th St,2024,35
Public Rack - Melvina & Foster,2024,35
Kedzie Ave & 104th St,2024,34
Public Rack - California Ave & Devon Ave - NW,2024,34
Public Rack - Fullerton Ave & Narragansett Ave,2024,34
Wallace St & Pershing Rd,2024,34
Archer Ave & 43rd St,2024,33
Greenwood Ave & 97th St,2024,33
Public Rack - Harper Ave & 63rd St,2024,33
Public Rack - Milwaukee Ave & School St,2024,33
Public Rack - Parkside & Archer,2024,33
Public Rack - Sacramento Ave & Devon Ave,2024,33
SCOOTERS CLASSIC - 2132 W Hubbard ST,2024,33
Bennett Ave & 79th St,2024,32
Public Rack - Mango & Higgins,2024,32
Public Rack - Pulaski Rd & 65th St,2024,32
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,2024,32
Public Rack - St Louis Ave & Berteau Ave,2024,32
Public Rack - Woodlawn Ave & 63rd St S,2024,32
S Michigan Ave & E 118th St,2024,32
Tripp Ave & 15th St,2024,32
Vincennes Ave & 104th St,2024,32
Wabash Ave & 83rd St,2024,32
Cicero Ave & Grace St,2024,31
Kenton Ave & Madison St,2024,31
Public Rack - Central & Leland,2024,31
Public Rack - Prairie Ave & 47th St ,2024,31
Vincennes Ave & 75th St,2024,31
Public Rack - 111th St - Morgan Park Metra,2024,30
Public Rack - California Ave & Ogden Ave,2024,30
Public Rack - Kimball Ave & Carmen Ave,2024,30
Public Rack - King Dr & 115th St,2024,30
Public Rack - Komensky Ave & 59th St,2024,30
Public Rack - Peterson Ave & Milwaukee Ave,2024,30
Public Rack - Pulaski & Rosemont,2024,30
Stony Island Ave & 90th St,2024,30
Yates Blvd & 93rd St,2024,30
Kildare Ave & Archer Ave,2024,29
Major Taylor Trail & 124th St,2024,29
Public Rack - 63rd Pl & Narraganssett Ave,2024,29
Public Rack - Central Ave & Pensacola Ave,2024,29
Public Rack - Langley Ave & 105th Pl,2024,29
Public Rack - Lynch & Elston,2024,29
Public Rack - Milwaukee Ave & Pensacola Ave,2024,29
Pulaski Rd & 60th St,2024,29
Rhodes Ave & 71st St,2024,29
Archer Ave & 49th St,2024,28
Columbus Ave & 83rd Pl,2024,28
Kedzie Ave & 45th St,2024,28
Public Rack - Laramine Ave & Winnemac Ave,2024,28
Public Rack - Nashotah & Northwest Hwy,2024,28
W 103rd St & S Avers Ave,2024,28
Lamon Ave & 47th St,2024,27
Michigan Ave & 114th St,2024,27
Public Rack - Bryn Mawr Ave & Spaulding Ave,2024,27
Public Rack - Cicero Ave & Wrightwood Ave,2024,27
Public Rack - Jeffrey Blvd & 71st St,2024,27
Public Rack - Menard Ave & Dakin St - midblock,2024,27
Public Rack - N. Oakview and W. Gregory St,2024,27
Public Rack - Nordica & Archer,2024,27
Public Rack - Wolcott Ave & 61st St,2024,27
Torrence Ave & 126th Pl,2024,27
Baltimore Ave & 133rd St,2024,26
Kedzie Ave & 38th St,2024,26
Parkside Ave & Armitage Ave,2024,26
Public Rack - Austin Ave & Wrightwood Ave,2024,26
Public Rack - Eli Whitney Public School,2024,26
Public Rack - Lawrence Ave & Kimball Ave,2024,26
Public Rack - Milwaukee Ave & Leland Ave,2024,26
Public Rack - Western Ave & 92nd Pl,2024,26
Pulaski Rd & Ann Lurie Pl,2024,26
Carpenter St & 63rd St,2024,25
Eggleston Ave & 92nd St,2024,25
Homan Ave & Arthington Ave,2024,25
Long Ave & North Ave,2024,25
Major Ave & Bloomingdale Ave,2024,25
Menard Ave & North Ave,2024,25
Public Rack - Ashland Ave & 91st St,2024,25
Public Rack - Imlay & Milwaukee,2024,25
Public Rack - Lotus Ave & Lawrence Ave,2024,25
Public Rack - Throop St & 109th Pl,2024,25
Torrence Ave & 106th St,2024,25
Hamilton Park,2024,24
Homan Ave & Fillmore St,2024,24
Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),2024,24
Lockwood Ave and Grand Ave,2024,24
Panama Ave & Grace St,2024,24
Public Rack - Cottage Grove & 86th St,2024,24
Public Rack - Karlov Ave & Kamerling Ave,2024,24
Public Rack - Kostner & Peterson,2024,24
Sacramento Blvd & Polk St,2024,24
South Chicago Ave & 83rd St,2024,24
Wentworth Ave & 104th St,2024,24
Augusta Blvd & Laramie Ave,2024,23
Lexington & California Ave,2024,23
Overhill Ave & Belmont Ave,2024,23
Portage Park,2024,23
Public Rack - Ewing Ave & 101st St,2024,23
Public Rack - Western Ave & 100th St,2024,23
Kildare Ave & 85th St,2024,22
Lawndale Ave & 59th St,2024,22
Oconto Ave & Belmont Ave,2024,22
Public Rack - California Ave & Touhy Ave - NW,2024,22
Public Rack - Kedzie Ave & Chicago Ave,2024,22
Public Rack - Leader & Caldwell,2024,22
Public Rack - Northwest Hwy & Bryn Mawr,2024,22
Public Rack - Prairie Ave & Garfield Blvd N,2024,22
Eberhart Ave & 131st St,2024,21
Public Rack - 532 E 43rd St,2024,21
Public Rack - Newcastle & Archer,2024,21
Public Rack - Touhy Ave & Oconto Ave,2024,21
Public Rack - Western Ave & Jarvis Ave,2024,21
Throop St & 52nd St,2024,21
Public Rack - Christiana & Lincoln,2024,20
Public Rack - Forest Glen Station ,2024,20
Public Rack - Greenwood Ave & Lake Park Ave,2024,20
Public Rack - Kenton & Lawrence,2024,20
Public Rack - Kimball & Ardmore,2024,20
Public Rack - Menard Ave & Grand Ave,2024,20
Public Rack - Natoma Ave & 61st St,2024,20
Public Rack - Oglesby Ave & 95th St,2024,20
Public Rack - Spaulding Ave & Bryn Mawr Ave,2024,20
Public Rack - Western & 83rd,2024,20
Troy St & Jackson Blvd,2024,20
Narragansett & McLean,2024,19
Public Rack - Central Park Ave & Fillmore St,2024,19
Public Rack - Kostner Ave & Wrightwood Ave,2024,19
Public Rack - Lockwood Ave & Diversey Ave,2024,19
Public Rack - Monticello & Lawrence,2024,19
Public Rack - Norwood Park Station ,2024,19
Public Rack - Ozark Ave & Addison St,2024,19
Public Rack - Racine Ave & 74th St,2024,19
Wentworth Ave & 92nd St,2024,19
Avenue L & 114th St,2024,18
Damen Ave & 33rd St,2024,18
Homan Ave & 77th St,2024,18
Olive Harvey College,2024,18
Public Rack - Garfield Park Conservatory,2024,18
Public Rack - Kildare Ave & North Ave,2024,18
Public Rack - Laramie Ave & Grand Ave,2024,18
Public Rack - Mont Clare Ave & Higgins Ave,2024,18
Public Rack - St Louis & Lincoln,2024,18
Public Rack - Winona St & Elston Ave,2024,18
Racine Ave & 65th St,2024,18
Keeler Ave & Roosevelt Rd,2024,17
Public Rack - Halsted St & 63rd St,2024,17
Public Rack - Karlov Ave & Lawrence Ave,2024,17
Public Rack - Laramie Ave & Fullerton Ave,2024,17
Public Rack - State ST & 42nd St,2024,17
Public Rack - Talman Ave & 51st St,2024,17
Rockwell St & 47th St,2024,17
Rockwell St & 63rd St,2024,17
St Louis Ave & 51st St,2024,17
Western Ave & 62nd St,2024,17
Public Rack - 4810 Keeler Ave,2024,16
Public Rack - Avondale Ave & Addison St,2024,16
Public Rack - Chase Ave & Touhy Ave - NE,2024,16
Public Rack - Cicero Ave & Cortland St - midblock,2024,16
Public Rack - Elston Ave & Kenneth Ave,2024,16
Public Rack - Forrestville Ave & 47th St,2024,16
Public Rack - Kedzie Ave & 58th St,2024,16
Public Rack - Kenton Ave & Palmer St,2024,16
Public Rack - Melvina Ave & Montrose Ave,2024,16
Public Rack - Western Ave & 47th Pl,2024,16
Public Rack - Whipple St & 63rd St,2024,16
Wood St & 84th St,2024,16
Glenlake Ave & Pulaski Rd,2024,15
Indiana Ave & 133rd St,2024,15
Nordica & Medill,2024,15
Plainfield & Irving Park,2024,15
Public Rack - Avenue M & 132nd St,2024,15
Public Rack - Central & Prescott,2024,15
Public Rack - Christiana Ave & Bryn Mawr Ave,2024,15
Public Rack - Cicero & 64th,2024,15
Public Rack - Cicero Ave & Roscoe St,2024,15
Public Rack - Halsted St & 95th St - SE,2024,15
Public Rack - Hamilton Ave & 95th St,2024,15
Public Rack - Keystone Ave & North Ave,2024,15
Public Rack - Lowe Park,2024,15
State St & 123rd St,2024,15
Grace & Cicero,2024,14
Martin Luther King Dr & 87th St,2024,14
Mulligan Ave & Wellington Ave,2024,14
Public Rack - Chopin Park,2024,14
Public Rack - Damen Ave & 47th St,2024,14
Public Rack - Kedzie Ave & 60th St,2024,14
Public Rack - Kostner & Bryn Mawr,2024,14
Public Rack - Laramie Ave & Belmont Ave,2024,14
Public Rack - Mobile Ave & Archer Ave,2024,14
Public Rack - Northwest Hwy & Neva Ave,2024,14
S Aberdeen St & W 106th St,2024,14
Shields Ave & 57th St,2024,14
Troy Ave & 27th St,2024,14
Bloomingdale Ave & Harlem Ave,2024,13
Kilbourn & Belden,2024,13
La Villita Park (Albany/30th),2024,13
Oriole Ave & Irving Park Rd,2024,13
Public Rack - Bernard St & Foster Ave,2024,13
Public Rack - Central Park & Bryn Mawr,2024,13
Public Rack - Ewing Ave & Indianapolis Ave,2024,13
Public Rack - King Dr & 71st St,2024,13
Public Rack - Langley Ave & 79th St,2024,13
Public Rack - Laramie Ave & Warwick Ave,2024,13
Public Rack - Normal Ave & 111th St,2024,13
Public Rack - Peterson Ave & Drake Ave,2024,13
Public Rack - Prairie Ave & Garfield Blvd S,2024,13
Public Rack - Sayer & Northwest Hwy,2024,13
Public Rack - Wentworth Park,2024,13
Public Rack - Wood St & 47th St,2024,13
Pulaski Rd & 21st St,2024,13
S Wentworth Ave & W 111th St,2024,13
California Ave & 29th St,2024,12
Ewing Ave & 97th St,2024,12
Newcastle Ave & Irving Park Rd,2024,12
Public Rack - Austin & Higgins,2024,12
Public Rack - Bryn Mawr Ave & Milwaukee Ave,2024,12
Public Rack - Central Ave & George St,2024,12
Public Rack - Houston Ave & 131st St,2024,12
Public Rack - Irving Park Rd & Austin Ave,2024,12
Public Rack - Justine St & 87th St,2024,12
Public Rack - Longwood Dr & 95th St,2024,12
Public Rack - Milwaukee Ave & Warner Ave,2024,12
Public Rack - Neenah & Archer,2024,12
Public Rack - Odell & Talcott,2024,12
Public Rack - Oketo Ave & Belmont Ave,2024,12
Public Rack - Overhill Ave & Touhy Ave,2024,12
Public Rack - S. Kilpatrick and W. 79th,2024,12
Public Rack - South Shore Dr & 71st St,2024,12
Vincennes Ave & 79th St,2024,12
Western Ave & 81st St,2024,12
Altgeld Gardens,2024,11
Princeton Ave & 95th St,2024,11
Public Rack - Central Park Ave & Fulton Blvd,2024,11
Public Rack - Kedvale Ave & 63rd St E,2024,11
Public Rack - Kedzie Ave & Archer Ave,2024,11
Public Rack - Linder & Elston,2024,11
Public Rack - Michele Clark Magnet High School,2024,11
Public Rack - Peterson Park,2024,11
Public Rack - Pulaski Rd & Lake St,2024,11
Public Rack - Western Ave & 106th St - East,2024,11
Wentworth Ave & 107th St,2024,11
Woodlawn & 103rd,2024,11
Ada St & 113th St,2024,10
Commercial Ave & 90th St,2024,10
Damen Ave & 77th St,2024,10
Public Rack - Avenue J & 112th St,2024,10
Public Rack - Bishop St & 46th St,2024,10
Public Rack - Central Park & Peterson,2024,10
Public Rack - Christiana Ave & Lawrence Ave,2024,10
Public Rack - Division St & Christiana Ave,2024,10
Public Rack - Eberhart Ave & 61st St,2024,10
Public Rack - Halsted St & 113th St,2024,10
Public Rack - Halsted St & 76th St,2024,10
Public Rack - Halsted St & 80th St,2024,10
Public Rack - Hamlin Ave & Grand Ave,2024,10
Public Rack - Irving Park Rd & Menard Ave,2024,10
Public Rack - Kedvale Ave & Peterson Ave,2024,10
Public Rack - Martin Luther King Dr & 44th St,2024,10
Public Rack - Melvina Ave & Belmont Ave,2024,10
Public Rack - Parkside & 63rd,2024,10
Public Rack - S Menard & W 63rd,2024,10
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,2024,10
Public Rack - Western Ave & 110th St,2024,10
South Chicago Ave & Elliot Ave,2024,10
Burley Ave & 91st St,2024,9
Manistee Ave & 95th St,2024,9
Mayfield & Roosevelt Rd,2024,9
Mozart St & 79th St,2024,9
Public Rack - 56th St & Mulligan Ave,2024,9
Public Rack - Austin Ave & Wellington Ave,2024,9
Public Rack - Canfield & Victoria,2024,9
Public Rack - Cicero Ave & Altgeld St,2024,9
Public Rack - Halsted St & 111th St,2024,9
Public Rack - Kedzie Ave & 63rd St,2024,9
Public Rack - Kedzie Ave & Walnut St,2024,9
Public Rack - King Dr & Oakwood Blvd,2024,9
Public Rack - Michigan Ave & 107th St,2024,9
Public Rack - Norwood Park,2024,9
Public Rack - Richmond St & Thorndale Ave,2024,9
