end_station_name,year,number_of_rides
Wolcott (Ravenswood) Ave & Montrose Ave (*),2019,1444
Greenwood Ave & 47th St,2019,1423
Clark St & Columbia Ave,2019,1397
Western Ave & 21st St,2019,1394
Christiana Ave & Lawrence Ave,2019,1383
Malcolm X College,2019,1366
Kedzie Ave & Leland Ave,2019,1356
Western Ave & Lunt Ave,2019,1316
Ogden Ave & Congress Pkwy,2019,1301
Loomis St & Archer Ave,2019,1273
Prairie Ave & Garfield Blvd,2019,1271
Woodlawn Ave & Lake Park Ave,2019,1262
Manor Ave & Leland Ave,2019,1259
California Ave & Byron St,2019,1233
Avers Ave & Belmont Ave,2019,1231
Clinton St & Polk St,2019,1229
Wallace St & 35th St,2019,1209
Smith Park (*),2019,1178
63rd St Beach,2019,1164
Albany Ave & Montrose Ave,2019,1157
Clinton St & Polk St (*),2019,1150
Drake Ave & Montrose Ave,2019,1146
Normal Ave & Archer Ave,2019,1122
Wentworth Ave & 24th St (Temp),2019,1120
Central Park Ave & North Ave,2019,1100
Monticello Ave & Irving Park Rd,2019,1055
Sawyer Ave & Irving Park Rd,2019,1050
Calumet Ave & 35th St,2019,1045
Racine Ave & 13th St,2019,1026
MLK Jr Dr & Pershing Rd,2019,1023
California Ave & 21st St,2019,1018
Glenwood Ave & Touhy Ave,2019,1014
Shields Ave & 28th Pl,2019,1011
Central St & Girard Ave,2019,992
Kedzie Ave & Foster Ave,2019,971
Elmwood Ave & Austin St,2019,938
Spaulding Ave & Division St,2019,925
Cottage Grove Ave & 47th St,2019,916
California Ave & 23rd Pl,2019,898
Lincolnwood Dr & Central St,2019,896
Kedzie Ave & Lake St,2019,893
Warren Park East,2019,889
Cottage Grove Ave & Oakwood Blvd,2019,886
Keystone Ave & Fullerton Ave,2019,883
Racine Ave & 35th St,2019,878
Dodge Ave & Church St,2019,873
Kedzie Ave & Chicago Ave,2019,872
South Shore Dr & 71st St,2019,853
Western Ave & Granville Ave,2019,846
Dorchester Ave & 49th St,2019,845
Warren Park West,2019,838
Ridge Blvd & Touhy Ave,2019,828
Cottage Grove Ave & 51st St,2019,821
Conservatory Dr & Lake St,2019,808
Halsted St & 37th St,2019,802
Halsted St & 35th St,2019,801
Cottage Grove Ave & 43rd St,2019,791
California Ave & Lake St,2019,781
Washtenaw Ave & Ogden Ave,2019,747
Kilbourn Ave & Milwaukee Ave,2019,727
St. Louis Ave & Balmoral Ave,2019,724
South Shore Dr & 67th St,2019,718
Western Ave & Howard St,2019,706
Kedzie Ave & Bryn Mawr Ave,2019,695
Pulaski Rd & Eddy St (Temp),2019,684
Prairie Ave & 43rd St,2019,683
Calumet Ave & 51st St,2019,679
Western Ave & 24th St,2019,669
Clark St & Jarvis Ave,2019,660
State St & 29th St,2019,660
Bernard St & Elston Ave,2019,656
Wentworth Ave & 24th St,2019,655
Keystone Ave & Montrose Ave,2019,642
2112 W Peterson Ave,2019,614
Valli Produce - Evanston Plaza,2019,602
California Ave & Francis Pl (Temp),2019,595
Leavitt St & Archer Ave,2019,592
Ashland Ave & McDowell Ave,2019,583
Cherry Ave & Blackhawk St,2019,582
Knox Ave & Montrose Ave,2019,582
Kilbourn Ave & Irving Park Rd,2019,569
Sacramento Blvd & Franklin Blvd,2019,567
Budlong Woods Library,2019,554
Milwaukee Ave & Cuyler Ave,2019,546
Bosworth Ave & Howard St,2019,535
DuSable Museum,2019,534
